"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2016","214.68","218.56","219.20","214.12","4.04M","-2.30%"
"Dec 28, 2016","219.74","221.53","223.80","217.20","3.78M","0.10%"
"Dec 27, 2016","219.53","214.88","222.25","214.42","5.92M","2.90%"
"Dec 23, 2016","213.34","208.00","213.45","207.71","4.67M","2.35%"
"Dec 22, 2016","208.45","208.22","209.99","206.50","3.11M","0.36%"
"Dec 21, 2016","207.70","208.45","212.23","207.41","5.21M","-0.52%"
"Dec 20, 2016","208.79","203.05","209.00","202.50","4.69M","2.99%"
"Dec 19, 2016","202.73","202.49","204.45","199.84","3.49M","0.12%"
"Dec 16, 2016","202.49","198.08","202.59","197.60","3.80M","2.49%"
"Dec 15, 2016","197.58","198.41","200.74","197.39","3.22M","-0.56%"
"Dec 14, 2016","198.69","198.74","203.00","196.76","4.15M","0.27%"
"Dec 13, 2016","198.15","193.18","201.28","193.00","6.82M","2.97%"
"Dec 12, 2016","192.43","192.80","194.42","191.04","2.44M","0.13%"
"Dec 09, 2016","192.18","190.87","193.84","190.81","2.72M","-0.06%"
"Dec 08, 2016","192.29","192.05","192.50","189.54","3.19M","-0.45%"
"Dec 07, 2016","193.15","186.15","193.40","185.00","5.46M","3.93%"
"Dec 06, 2016","185.85","185.52","186.58","182.68","3.39M","-0.51%"
"Dec 05, 2016","186.80","182.51","188.89","182.51","4.07M","2.94%"
"Dec 02, 2016","181.47","182.88","184.88","180.00","4.04M","-0.23%"
"Dec 01, 2016","181.88","188.25","188.53","181.00","5.13M","-3.97%"
"Nov 30, 2016","189.40","191.00","191.89","187.50","3.55M","-0.09%"
"Nov 29, 2016","189.57","195.56","196.73","189.50","4.44M","-3.34%"
"Nov 28, 2016","196.12","195.48","199.35","194.55","4.53M","-0.27%"
"Nov 25, 2016","196.65","193.64","197.24","193.64","2.37M","1.82%"
"Nov 23, 2016","193.14","190.61","195.64","189.00","4.89M","1.03%"
"Nov 22, 2016","191.17","185.84","191.47","183.71","5.60M","3.60%"
"Nov 21, 2016","184.52","185.04","188.89","184.41","4.36M","-0.27%"
"Nov 18, 2016","185.02","190.65","193.00","185.00","5.21M","-1.93%"
"Nov 17, 2016","188.66","183.49","189.49","182.11","4.89M","2.57%"
"Nov 16, 2016","183.93","182.65","184.73","181.21","3.43M","0.09%"
"Nov 15, 2016","183.77","182.78","186.43","182.05","3.90M","1.28%"
"Nov 14, 2016","181.45","188.00","188.25","178.19","6.55M","-3.77%"
"Nov 11, 2016","188.56","184.24","188.88","183.00","3.99M","1.73%"
"Nov 10, 2016","185.35","191.05","191.61","180.42","6.75M","-2.48%"
"Nov 09, 2016","190.06","186.88","192.00","183.95","8.17M","-2.50%"
"Nov 08, 2016","194.94","193.79","197.49","191.26","3.27M","0.90%"
"Nov 07, 2016","193.21","193.59","194.29","190.05","3.87M","1.39%"
"Nov 04, 2016","190.56","189.00","193.46","185.96","5.15M","1.68%"
"Nov 03, 2016","187.42","189.00","191.47","187.04","2.65M","-0.32%"
"Nov 02, 2016","188.02","190.05","192.70","187.50","4.25M","-1.45%"
"Nov 01, 2016","190.79","198.04","198.50","188.10","7.06M","-3.51%"
"Oct 31, 2016","197.73","202.49","202.49","195.81","4.69M","-1.12%"
"Oct 28, 2016","199.97","204.00","205.32","199.83","4.28M","-1.98%"
"Oct 27, 2016","204.01","211.34","213.70","201.65","13.09M","0.88%"
"Oct 26, 2016","202.24","201.00","203.19","200.10","5.63M","-0.05%"
"Oct 25, 2016","202.34","202.90","204.69","201.20","2.45M","-0.21%"
"Oct 24, 2016","202.76","201.00","203.95","200.25","2.75M","1.33%"
"Oct 21, 2016","200.09","198.60","201.57","197.41","2.94M","0.50%"
"Oct 20, 2016","199.10","202.12","203.00","197.05","5.07M","-2.19%"
"Oct 19, 2016","203.56","199.74","206.66","198.06","6.99M","2.24%"
"Oct 18, 2016","199.10","195.99","199.47","193.26","5.68M","2.65%"
"Oct 17, 2016","193.96","197.05","198.39","192.00","4.55M","-1.30%"
"Oct 14, 2016","196.51","200.66","201.43","196.30","4.27M","-1.86%"
"Oct 13, 2016","200.24","200.50","200.90","197.05","2.50M","-0.63%"
"Oct 12, 2016","201.51","200.95","203.88","200.42","1.97M","0.70%"
"Oct 11, 2016","200.10","201.85","202.20","198.31","2.33M","-0.42%"
"Oct 10, 2016","200.95","201.35","204.14","199.66","3.32M","2.21%"
"Oct 07, 2016","196.61","201.00","201.32","195.80","3.49M","-2.18%"
"Oct 06, 2016","201.00","202.46","204.21","200.21","4.70M","-3.58%"
"Oct 05, 2016","208.46","212.24","213.15","208.12","1.88M","-1.40%"
"Oct 04, 2016","211.41","213.10","213.32","208.82","3.54M","-1.07%"
"Oct 03, 2016","213.70","212.30","215.67","208.25","6.00M","4.74%"
"Sep 30, 2016","204.03","202.21","204.98","199.55","2.59M","1.66%"
"Sep 29, 2016","200.70","205.60","207.33","200.58","2.73M","-2.70%"
"Sep 28, 2016","206.27","207.51","208.25","205.26","2.09M","0.22%"
"Sep 27, 2016","205.81","209.65","209.98","204.61","3.37M","-1.52%"
"Sep 26, 2016","208.99","206.50","211.00","206.50","2.39M","0.74%"
"Sep 23, 2016","207.45","205.99","210.18","205.67","2.91M","0.49%"
"Sep 22, 2016","206.43","206.40","207.28","203.00","2.38M","0.59%"
"Sep 21, 2016","205.22","206.37","207.00","201.56","2.63M","0.28%"
"Sep 20, 2016","204.64","206.85","207.75","203.91","2.41M","-0.82%"
"Sep 19, 2016","206.34","207.00","209.43","205.00","2.30M","0.46%"
"Sep 16, 2016","205.40","200.42","205.70","199.00","3.11M","2.48%"
"Sep 15, 2016","200.42","196.49","202.52","196.40","3.09M","2.04%"
"Sep 14, 2016","196.41","195.75","197.92","194.86","2.26M","0.18%"
"Sep 13, 2016","196.05","197.06","198.49","193.45","3.59M","-1.13%"
"Sep 12, 2016","198.30","195.00","201.37","194.10","3.72M","1.97%"
"Sep 09, 2016","194.47","199.09","199.92","193.70","3.76M","-1.46%"
"Sep 08, 2016","197.36","199.55","199.89","196.36","3.38M","-2.16%"
"Sep 07, 2016","201.71","205.50","206.50","200.71","3.64M","-0.55%"
"Sep 06, 2016","202.83","199.02","203.25","199.00","4.39M","2.55%"
"Sep 02, 2016","197.78","202.33","203.20","196.20","5.98M","-1.49%"
"Sep 01, 2016","200.77","209.01","211.10","200.50","7.94M","-5.30%"
"Aug 31, 2016","212.01","210.43","212.60","208.65","3.28M","0.32%"
"Aug 30, 2016","211.34","216.11","216.11","210.52","3.17M","-1.79%"
"Aug 29, 2016","215.20","220.15","220.40","215.00","3.27M","-2.18%"
"Aug 26, 2016","219.99","222.14","222.85","218.82","2.24M","-0.44%"
"Aug 25, 2016","220.96","223.11","223.80","220.77","1.76M","-0.75%"
"Aug 24, 2016","222.62","227.05","227.15","222.22","2.57M","-0.99%"
"Aug 23, 2016","224.84","224.32","228.49","222.80","4.78M","0.86%"
"Aug 22, 2016","222.93","224.17","225.11","222.68","2.07M","-0.92%"
"Aug 19, 2016","225.00","223.54","225.17","222.53","1.66M","0.67%"
"Aug 18, 2016","223.51","223.82","225.66","222.29","1.71M","0.12%"
"Aug 17, 2016","223.24","224.33","224.83","222.80","1.79M","-0.17%"
"Aug 16, 2016","223.61","225.49","227.19","223.41","2.27M","-0.88%"
"Aug 15, 2016","225.59","226.02","229.50","224.93","2.03M","-0.01%"
"Aug 12, 2016","225.61","225.41","226.65","224.04","1.81M","0.31%"
"Aug 11, 2016","224.91","226.17","227.57","223.41","1.88M","-0.33%"
"Aug 10, 2016","225.65","228.24","229.87","224.62","2.34M","-1.50%"
"Aug 09, 2016","229.08","226.82","231.54","226.65","2.21M","1.29%"
"Aug 08, 2016","226.16","228.00","229.60","226.09","2.26M","-1.68%"
"Aug 05, 2016","230.03","230.00","232.00","227.40","3.21M","-0.25%"
"Aug 04, 2016","230.61","225.69","230.86","222.05","4.15M","2.13%"
"Aug 03, 2016","225.79","227.37","229.70","224.21","3.89M","-0.62%"
"Aug 02, 2016","227.20","229.37","229.87","221.40","3.93M","-1.22%"
"Aug 01, 2016","230.01","235.50","236.63","229.38","4.02M","-2.04%"
"Jul 29, 2016","234.79","230.70","235.28","230.24","3.07M","1.81%"
"Jul 28, 2016","230.61","227.95","230.76","226.60","2.42M","0.93%"
"Jul 27, 2016","228.49","229.34","233.36","226.92","2.89M","-0.44%"
"Jul 26, 2016","229.51","227.69","230.00","225.30","3.43M","-0.22%"
"Jul 25, 2016","230.01","222.27","231.39","221.37","4.49M","3.48%"
"Jul 22, 2016","222.27","221.99","224.50","218.88","2.58M","0.80%"
"Jul 21, 2016","220.50","226.00","227.85","219.10","4.43M","-3.44%"
"Jul 20, 2016","228.36","226.47","229.80","225.00","2.57M","1.38%"
"Jul 19, 2016","225.26","225.00","229.10","224.75","3.12M","-0.44%"
"Jul 18, 2016","226.25","219.64","227.09","218.30","3.41M","2.65%"
"Jul 15, 2016","220.40","222.52","222.75","219.64","2.23M","-0.51%"
"Jul 14, 2016","221.53","223.12","224.94","221.05","2.68M","-0.45%"
"Jul 13, 2016","222.53","225.50","225.59","220.29","3.57M","-0.94%"
"Jul 12, 2016","224.65","224.10","227.50","223.22","4.58M","-0.06%"
"Jul 11, 2016","224.78","219.96","226.78","219.51","5.43M","3.69%"
"Jul 08, 2016","216.78","217.80","219.81","214.50","4.07M","0.39%"
"Jul 07, 2016","215.94","213.10","218.12","213.01","3.61M","0.70%"
"Jul 06, 2016","214.44","210.00","215.23","209.00","4.92M","0.21%"
"Jul 05, 2016","213.98","209.73","214.54","208.00","5.18M","-1.16%"
"Jul 01, 2016","216.50","206.14","218.24","206.00","5.40M","1.99%"
