"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2016","102.47","102.52","102.73","101.96","336.95K","0.76%"
"Apr 29, 2016","101.70","102.69","102.76","101.42","496.68K","-1.22%"
"Apr 28, 2016","102.96","103.62","104.66","102.81","740.34K","-3.21%"
"Apr 27, 2016","106.37","105.75","106.64","105.51","271.07K","-0.89%"
"Apr 26, 2016","107.32","107.35","107.43","106.76","252.47K","-0.02%"
"Apr 25, 2016","107.34","107.52","107.91","106.70","307.55K","-0.10%"
"Apr 22, 2016","107.45","106.96","107.57","106.67","473.67K","1.91%"
"Apr 21, 2016","105.44","105.54","105.86","105.25","310.51K","0.56%"
"Apr 20, 2016","104.85","104.72","105.33","104.16","261.28K","0.14%"
"Apr 19, 2016","104.70","105.10","105.38","104.45","251.95K","1.30%"
"Apr 18, 2016","103.36","102.00","103.54","102.00","302.96K","-0.31%"
"Apr 15, 2016","103.68","104.51","104.51","103.49","399.29K","-1.22%"
"Apr 14, 2016","104.96","105.00","105.39","104.79","406.52K","0.67%"
"Apr 13, 2016","104.26","103.76","104.31","103.49","628.87K","2.64%"
"Apr 12, 2016","101.58","101.23","101.97","101.02","523.41K","3.20%"
"Apr 11, 2016","98.43","98.53","99.09","98.30","990.26K","-2.22%"
"Apr 08, 2016","100.66","100.70","101.10","100.40","517.07K","2.43%"
"Apr 07, 2016","98.27","99.21","99.25","97.80","547.93K","-1.25%"
"Apr 06, 2016","99.51","98.90","99.62","98.38","492.39K","0.78%"
"Apr 05, 2016","98.74","98.23","99.56","98.11","1.16M","-2.60%"
"Apr 04, 2016","101.38","101.66","101.87","100.91","994.17K","-2.09%"
"Apr 01, 2016","103.54","103.47","104.03","103.01","531.79K","-2.61%"
"Mar 31, 2016","106.32","106.41","106.76","106.11","384.49K","-1.19%"
"Mar 30, 2016","107.60","108.00","108.10","107.45","323.55K","-0.69%"
"Mar 29, 2016","108.35","108.00","108.42","107.34","345.85K","-0.31%"
"Mar 28, 2016","108.69","108.50","109.09","108.09","450.50K","2.23%"
"Mar 24, 2016","106.32","106.39","106.39","105.75","399.77K","-1.65%"
"Mar 23, 2016","108.10","108.48","108.99","108.10","291.05K","-0.46%"
"Mar 22, 2016","108.60","108.11","109.32","107.76","318.66K","1.36%"
"Mar 21, 2016","107.14","106.41","107.43","106.41","442.13K","0.51%"
"Mar 18, 2016","106.60","106.28","106.93","105.80","615.53K","-1.23%"
"Mar 17, 2016","107.93","106.89","108.48","106.44","354.74K","0.36%"
"Mar 16, 2016","107.54","106.47","107.77","106.10","342.98K","0.30%"
"Mar 15, 2016","107.22","107.41","107.42","106.45","405.23K","-1.59%"
"Mar 14, 2016","108.95","109.25","109.49","108.81","251.57K","-0.28%"
"Mar 11, 2016","109.26","108.66","109.28","108.54","216.70K","2.04%"
